,,,,,,,
# Au départ,,,,,,,
,,X,Y,,,,
,,1,1,,,,
,,"1,5",2,,,,
,,3,4,,,,
,,5,7,,,,
,,"3,5",5,,,,
,,"4,5",5,,,,
,,"3,5","4,5",,,,
,,4,4,,,,
,,,,,,,
,,,,,,,
# Itération 1,,,,,,,
,,,,,,,
,Centroid 1,3,4,,,,
,Centroid 2,"4,5",5,,,,
,,,,,,,
,,X,Y,Distance 1,Distance 2,,Clusters
,,1,1,"3,60555127546399",Err :509,,Err :509
,,"1,5",2,"2,5","4,24264068711929",,1
,,3,4,0,"1,80277563773199",,1
,,5,7,"3,60555127546399","2,06155281280883",,2
,,"3,5",5,"1,1180339887499",1,,2
,,"4,5",5,"1,80277563773199",0,,2
,,"3,5","4,5","0,707106781186548","1,1180339887499",,1
,,4,4,1,"1,1180339887499",,1
,,,,,,,
,,,,,,,
# Itération 2,,,,,,,
,,,,,,,
,Centroid 1,"2,6","3,1",,,,
,Centroid 2,"4,33333333333333","5,66666666666667",,,,
,,,,,,,
,,,,Distance 1,Distance 2,,Clusters
,,,,"2,64007575648882","5,73488351136175",,1
,,,,"1,5556349186104","4,63381292481928",,1
,,,,"0,98488578017961","2,13437474581095",,1
,,,,"4,57930125674212","1,49071198499986",,2
,,,,"2,10237960416286","1,06718737290547",,2
,,,,"2,68700576850888","0,687184270936277",,2
,,,,"1,66433169770932","1,43372087784044",,2
,,,,"1,66433169770932","1,6996731711976",,1
,,,,,,,
,,,,,,,
# Itération 3,,,,,,,
,,,,,,,
,Centroid 1,"2,375","2,75",,,,
,Centroid 2,"4,125","2,75",,,,
,,,,,,,
,,,,Distance 1,Distance 2,,Clusters
,,,,"2,22556172684561","3,5816371954736",,1
,,,,"1,5556349186104","2,73004120848019",,1
,,,,"0,98488578017961","1,68170300588421",,1
,,,,"4,57930125674212","4,33913873942745",,2
,,,,"2,10237960416286","2,33519271153368",,1
,,,,"2,68700576850888","2,28103594886183",,2
,,,,"1,66433169770932","1,85825859341481",,1
,,,,"1,66433169770932","1,25623445264011",,2
